fecha;cierre;ORIGEN;anio_mes
30/1/2015;8,6859;OFICIAL;2015-01
28/2/2015;8,779;OFICIAL;2015-02
31/3/2015;8,8657;OFICIAL;2015-03
30/4/2015;8,9487;OFICIAL;2015-04
31/5/2015;9,0416;OFICIAL;2015-05
30/6/2015;9,1425;OFICIAL;2015-06
31/7/2015;9,2433;OFICIAL;2015-07
31/8/2015;9,3652;OFICIAL;2015-08
30/9/2015;9,4896;OFICIAL;2015-09
31/10/2015;9,6272;OFICIAL;2015-10
30/11/2015;11,4278;OFICIAL;2015-11
31/12/2015;13,6548;OFICIAL;2015-12
31/1/2016;14,8146;OFICIAL;2016-01
29/2/2016;14,9615;OFICIAL;2016-02
31/3/2016;14,4095;OFICIAL;2016-03
30/4/2016;14,13772381;OFICIAL;2016-04
31/5/2016;14,1408;OFICIAL;2016-05
30/6/2016;14,909385;OFICIAL;2016-06
31/7/2016;14,84980909;OFICIAL;2016-07
31/8/2016;15,10073636;OFICIAL;2016-08
30/9/2016;15,181;OFICIAL;2016-09
31/10/2016;15,3399;OFICIAL;2016-10
30/11/2016;15,8296;OFICIAL;2016-11
31/12/2016;15,9065;OFICIAL;2016-12
31/1/2017;15,5983;OFICIAL;2017-01
28/2/2017;15,5237;OFICIAL;2017-02
31/3/2017;15,36;OFICIAL;2017-03
30/4/2017;15,6981;OFICIAL;2017-04
31/5/2017;16,1166;OFICIAL;2017-05
30/6/2017;17,169;OFICIAL;2017-06
31/7/2017;17,4165;OFICIAL;2017-07
31/8/2017;17,2465;OFICIAL;2017-08
30/9/2017;17,4528;OFICIAL;2017-09
31/10/2017;17,4925;OFICIAL;2017-10
30/11/2017;17,7001;OFICIAL;2017-11
31/12/2017;19,02903636;OFICIAL;2017-12
31/1/2018;19,84092778;OFICIAL;2018-01
28/2/2018;20,2378;OFICIAL;2018-02
31/3/2018;20,2349;OFICIAL;2018-03
30/4/2018;23,6687;OFICIAL;2018-04
31/5/2018;26,5342;OFICIAL;2018-05
30/6/2018;27,6247;OFICIAL;2018-06
31/7/2018;30,1245;OFICIAL;2018-07
31/8/2018;38,59;OFICIAL;2018-08
30/9/2018;37,1202;OFICIAL;2018-09
31/10/2018;35,93;MEP;2018-10
30/11/2018;37,68;MEP;2018-11
31/12/2018;38,11;MEP;2018-12
31/1/2019;37,54;MEP;2019-01
28/2/2019;39,33;MEP;2019-02
31/3/2019;43,66;MEP;2019-03
30/4/2019;44,27;MEP;2019-04
31/5/2019;44,84;MEP;2019-05
30/6/2019;42,48;MEP;2019-06
31/7/2019;44,07;MEP;2019-07
31/8/2019;61,96;MEP;2019-08
30/9/2019;61,02;MEP;2019-09
31/10/2019;76,27;MEP;2019-10
30/11/2019;72,7;MEP;2019-11
31/12/2019;72,43;MEP;2019-12
31/1/2020;83,79;MEP;2020-01
29/2/2020;80,87;MEP;2020-02
31/3/2020;85,96;MEP;2020-03
30/4/2020;112,31;MEP;2020-04
31/5/2020;107,71;MEP;2020-05
30/6/2020;100,53;MEP;2020-06
31/7/2020;122,21;MEP;2020-07
31/8/2020;121,57;MEP;2020-08
30/9/2020;139,1;MEP;2020-09
31/10/2020;140,99;MEP;2020-10
30/11/2020;146,19;MEP;2020-11
31/12/2020;144,67;MEP;2020-12
31/1/2021;148,5;MEP;2021-01
28/2/2021;144,35;MEP;2021-02
31/3/2021;141,67;MEP;2021-03
30/4/2021;152,92;MEP;2021-04
31/5/2021;160,65;MEP;2021-05
30/6/2021;164,82;MEP;2021-06
31/7/2021;169,87;MEP;2021-07
31/8/2021;171,35;MEP;2021-08
30/9/2021;176,63;MEP;2021-09
31/10/2021;198,47;MEP;2021-10
30/11/2021;201,92;MEP;2021-11
31/12/2021;197,52;MEP;2021-12
